"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:22:17.4309663 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"10:22:17.4310043 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\en-US","NAME NOT FOUND","Length: 532"
"10:22:17.4310347 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"10:22:17.4463504 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"10:22:17.4463916 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"10:22:17.4464281 AM","sample_create_window.exe","8296","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"10:22:17.4464662 AM","sample_create_window.exe","8296","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"10:22:17.4472857 AM","sample_create_window.exe","8296","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:22:17.4473191 AM","sample_create_window.exe","8296","RegOpenKey","HKLM\SOFTWARE\Microsoft\CTF\Compatibility\sample_create_window.exe","NAME NOT FOUND","Desired Access: Read"
"10:22:17.4479528 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.4480946 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","CreationTime: 2/15/2023 6:59:21 AM, LastAccessTime: 2/24/2023 10:22:07 AM, LastWriteTime: 2/15/2023 6:59:21 AM, ChangeTime: 2/15/2023 7:43:57 PM, FileAttributes: A"
"10:22:17.4481739 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"10:22:17.4485875 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\rpcss.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.4486873 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\rpcss.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_WRITECOPY"
"10:22:17.4487274 AM","sample_create_window.exe","8296","QueryStandardInformationFile","C:\Windows\System32\rpcss.dll","SUCCESS","AllocationSize: 1,327,104, EndOfFile: 1,325,568, NumberOfLinks: 2, DeletePending: False, Directory: False"
"10:22:17.4488291 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\rpcss.dll","SUCCESS","SyncType: SyncTypeOther"
"10:22:17.4490680 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\rpcss.dll","SUCCESS",""
"10:22:17.4498681 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.4499458 AM","sample_create_window.exe","8296","QueryBasicInformationFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","CreationTime: 2/25/2022 9:24:03 PM, LastAccessTime: 2/24/2023 10:22:06 AM, LastWriteTime: 2/25/2022 9:24:03 PM, ChangeTime: 2/15/2023 7:00:06 AM, FileAttributes: A"
"10:22:17.4499811 AM","sample_create_window.exe","8296","CloseFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS",""
"10:22:17.4504063 AM","sample_create_window.exe","8296","CreateFile","C:\Windows\System32\kernel.appcore.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"10:22:17.4504995 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\kernel.appcore.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_WRITECOPY"
"10:22:17.4505736 AM","sample_create_window.exe","8296","CreateFileMapping","C:\Windows\System32\kernel.appcore.dll","SUCCESS","SyncType: SyncTypeOther"
